,Freq (GHz),amp 0.1,amp 0.15,amp 0.2,amp 0.25,amp 0.3,amp 0.35,amp 0.4,amp 0.44999999999999996,amp 0.5,amp 0.5499999999999999,amp 0.6,amp 0.6499999999999999,amp 0.7,amp 0.7499999999999999,amp 0.7999999999999999,amp 0.8499999999999999,amp 0.8999999999999999,amp 0.95,amp 0.9999999999999999
0,4.964452361343912,(0.55995166359552-1.64748066816j),(0.36089465143296-1.79467456610304j),(-0.09311447154688-1.111620583424j),(0.75521455030272-1.5655793328128j),(0.57895693582336-1.72077512392704j),(0.5755421851648-1.53762362556416j),(0.8031634980864-1.65093543247872j),(0.58285105348608-1.50415307964416j),(0.72519490994176-1.51735121215488j),(0.77581395165184-1.47487767658496j),(0.65130456940544-1.43608254562304j),(0.8593894014976-1.59869655056384j),(0.77093975097344-1.73719968284672j),(0.82202494763008-1.67243560255488j),(0.35993327501312-1.90518088695808j),(0.72855261806592-1.54188856164352j),(0.56004662263808-1.74906872430592j),(0.815181856768-1.5587233234944j),(0.47434491232256-1.66631997177856j)
1,4.964722631614182,(0.57293613826048-1.51642326433792j),(0.3619172646912-1.78829469417472j),(-0.05936591142912-1.17303031103488j),(0.6761715073024-1.44261945229312j),(0.45649894572032-1.61839686090752j),(0.45764411654144-1.67494799065088j),(0.702055186432-1.58558683398144j),(0.63885407158272-1.68097570881536j),(0.64310034300928-1.578744414208j),(0.72390843301888-1.45676616859648j),(0.71034757709824-1.4712049762304j),(0.8691931676672-1.4682253426688j),(0.71980707479552-1.58351384117248j),(0.80298574348288-1.63000736546816j),(0.30837296857088-1.93717352792064j),(0.65907149766656-1.64322042970112j),(0.58632460828672-1.70491142733824j),(0.84731769126912-1.51582716985344j),(0.31907379150848-1.5746935554048j)
2,4.964992901884453,(0.55529808330752-1.56652858769408j),(0.44968697659392-1.65717018148864j),(-0.25430853681152-1.03329254342656j),(0.66462135877632-1.4538137141248j),(0.3178465591296-1.79162413268992j),(0.42359089790976-1.76110755119104j),(0.80321475248128-1.55330327609344j),(0.48463744073728-1.60251756150784j),(0.73184279789568-1.55490784903168j),(0.58670339588096-1.4228815609856j),(0.64785781620736-1.3924132978688j),(0.90897001742336-1.48238212530176j),(0.57024188514304-1.68164226760704j),(0.69902316601344-1.5966675140608j),(0.31915383980032-1.84275857047552j),(0.71200977977344-1.56160330039296j),(0.68882333171712-1.62499383001088j),(0.91491292676096-1.53118385897472j),(0.39340042354688-1.65037993885696j)
3,4.965263172154724,(0.57227658395648-1.49246640652288j),(0.43700793114624-1.80744169193472j),(-0.08656167370752-1.1480938315776j),(0.70995046039552-1.49678502969344j),(0.47471086534656-1.8422272360448j),(0.5831484296396799-1.60091936391168j),(0.76403886260224-1.52601546981376j),(0.60157128081408-1.57407598608384j),(0.65928200978432-1.58866763415552j),(0.77849537019904-1.52535813849088j),(0.67522657255424-1.50880171065344j),(0.90763362828288-1.54364513615872j),(0.77919506399232-1.61090700836864j),(0.8036743643136-1.6506314293248j),(0.30830516764672-1.90579879182336j),(0.80840335818752-1.62254586642432j),(0.57224999206912-1.80857868386304j),(0.98114308407296-1.53768603680768j),(0.51078229917696-1.59795063554048j)
4,4.965533442424993,(0.5373360603136-1.46477242384384j),(0.30900836368384-1.72099222110208j),(-0.1423560933376-1.15269406031872j),(0.54765094436864-1.37056969818112j),(0.49817883508736-1.71728512745472j),(0.66939971960832-1.53539829563392j),(0.76384131088384-1.54319986884608j),(0.73462781575168-1.66810389315584j),(0.59634995953664-1.56937031254016j),(0.79699116032-1.4966937616384j),(0.71779590602752-1.48855211425792j),(0.82536218755072-1.48543004213248j),(0.79592815591424-1.7403324923904j),(0.93976535236608-1.68319147573248j),(0.54038213165056-1.82130906759168j),(0.7516406677504-1.56861282123776j),(0.623621701632-1.80549821923328j),(0.9062825590784-1.56063106072576j),(0.176946675712-1.78879029313536j)
5,4.965803712695264,(0.6031155396608-1.4712704073728j),(0.21017879642112-1.81389655801856j),(0.0162231287808-1.20107720245248j),(0.7599017689088-1.479599456256j),(0.5881701859328-1.60286937972736j),(0.61665185890304-1.64812273221632j),(0.77932953337856-1.58260602601472j),(0.74640693133312-1.618166677504j),(0.79957627764736-1.71000398348288j),(0.69156867145728-1.47440506241024j),(0.59853322059776-1.43641808994304j),(0.9182229037056-1.4501445369856j),(0.6575953543168-1.53483642667008j),(0.82451099549696-1.66184045510656j),(0.42586291044352-1.88245161803776j),(0.75315346931712-1.78202269974528j),(0.50936693129216-1.8355146719232j),(0.86072813944832-1.49984099958784j),(0.43811757621248-1.59501428719616j)
6,4.9660739829655345,(0.59691421925376-1.516207341568j),(0.24825663848448-1.7154292318208j),(0.09937625284608-1.1873164460032j),(0.7133802266624-1.4963758333952j),(0.49274897301504-1.7764043456512j),(0.64128257359872-1.68890646659072j),(0.77772311494656-1.49026540355584j),(0.53607927906304-1.52603577024512j),(0.82115504898048-1.54588657221632j),(0.73389028933632-1.53382828376064j),(0.55825926193152-1.43024440999936j),(0.93338002784256-1.56379121713152j),(0.72481901641728-1.63801596952576j),(0.82524474703872-1.53435240398848j),(0.34220747522048-1.85753795559424j),(0.54407165116416-1.67764174045184j),(0.57213980770304-1.6897919680512j),(0.843273207808-1.48141928087552j),(0.23274310336512-1.69891843801088j)
7,4.966344253235804,(0.55367367131136-1.55254897246208j),(0.50114118811648-1.71002478723072j),(-0.04643864707072-1.06543970254848j),(0.64801715781632-1.43756145721344j),(0.23479122395136-1.87615278006272j),(0.4202711482368-1.6366325202944j),(0.7618097577984-1.58383076278272j),(0.76602780155904-1.57939570573312j),(0.59700775223296-1.58230353281024j),(0.69495888543744-1.42901162016768j),(0.555653005312-1.489154080768j),(0.95205592137728-1.58764774719488j),(0.71016093057024-1.71813053136896j),(0.81366351872-1.59570886393856j),(0.32841763127296-1.82441134260224j),(0.74709630713856-1.66206610866176j),(0.51416076910592-1.68252844015616j),(0.86858927177728-1.46497677033472j),(0.38237712154624-1.71064571199488j)
8,4.966614523506075,(0.68860493430784-1.54514787139584j),(0.39793475977216-1.77403724824576j),(-0.07194252673024-1.1478891495424j),(0.68385220067328-1.5004753461248j),(0.46788853628928-1.65194021994496j),(0.59066734870528-1.68594042257408j),(0.81796947509248-1.56497384308736j),(0.75773390094336-1.56775651213312j),(0.66342476578816-1.49590254813184j),(0.72486221774848-1.52299942969344j),(0.54926642249728-1.4884133666816j),(0.91504169189376-1.55981854015488j),(0.65067047452672-1.61695133597696j),(0.66784111624192-1.66276018208768j),(0.2201444417536-1.95145681076224j),(0.61808597532672-1.71609159630848j),(0.66049563164672-1.6610165260288j),(0.97645846593536-1.50407623999488j),(0.35020716638208-1.56848883761152j)
9,4.966884793776345,(0.65451786764288-1.54872376721408j),(0.52422709870592-1.68331646599168j),(0.01094674415616-1.14429177888768j),(0.769302462464-1.43305828466688j),(0.50222663204864-1.72295666532352j),(0.53065994469376-1.65963223793664j),(0.75444221116416-1.5149649887232j),(0.73211970584576-1.6183721984j),(0.59855284994048-1.52788730380288j),(0.68192177225728-1.49345190019072j),(0.55456663863296-1.49657766330368j),(0.79731336675328-1.49407970361344j),(0.7455262113792-1.6027937144832j),(0.72550335905792-1.64968217444352j),(0.4939510185984-1.75692230688768j),(0.59171630219264-1.58799251898368j),(0.56939279024128-1.63501754548224j),(0.68807951384576-1.44415322537984j),(0.27858627985408-1.54738477760512j)
10,4.967155064046616,(0.5000587640832-1.53335046864896j),(0.48369808441344-1.592526897152j),(0.01736896544768-1.20716439584768j),(0.71206808059904-1.50269513957376j),(0.28845063274496-1.83291219017728j),(0.63148388253696-1.7303919919104j),(0.78049127170048-1.60490546266112j),(0.54731477090304-1.61156618518528j),(0.70342705938432-1.45282939486208j),(0.85715543130112-1.4906648690688j),(0.5258782703616-1.44968115027968j),(0.9319047233536-1.56209353064448j),(0.76754286804992-1.5739662630912j),(0.81188697931776-1.64645608357888j),(0.13113050005504-1.81918859526144j),(0.6074562248704-1.56713609068544j),(0.51186937888768-1.7193441951744j),(0.81475512827904-1.42574861942784j),(0.24573758144512-1.68285257596928j)
